departement,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010,ratio_imposable_2009
48,185,77162.999999999971,33651.59045226076,695,941,57254.439409967541,33651.59045226076,18886.42538255587,4716.4235751509113,21539.700375733348,44169,20499,15699.184782608696,32252.850167227549,48278.274541392631,2458.0257810344001,34065.227599250815,11072,3663,677,917,4366,1126,1449,3240,2463,491,0.46410378319635942
69,293,1708671,737724.44240409089,25921,11648,810341.28973998642,737724.44240409089,18300.881774547481,54315.965561348377,360227.26831301645,952694,562342,20913.287456445993,822447.04417352297,1129741.6706838999,86196.092929347767,815065.49650025158,160824,9219,9158,13666,106429,29131,22352,77298,44822,12711,0.59026507986824728
28,403,425502.00000000006,174629.7411669335,5540,3673,201760.01405286032,174629.7411669335,13468.755099626409,13661.517786300243,115125.85043692321,235245,134867,20221.23076923077,151311.53270388846,271778.52669002424,20584.311698556114,201640.19594437556,31306,5230,2100,3157,16681,5199,4138,11482,8937,2330,0.57330442729919873
30,353,701883,303042.74065672111,8467,6567,381902.14648038731,303042.74065672111,48741.801823543443,30117.604000123632,179120.01334154094,407283,191717,17176.902077151335,237914.82345961861,444846.08155901445,47478.78836162253,305920.30811810482,70263,9364,4316,8653,38294,11990,9636,26304,17310,3342,0.47072183223949932
60,693,801512,313740.99493746518,11032,6217,342914.06320456922,313740.99493746518,9540.3688181748876,19632.699448929499,195121.78347126444,436825,248778,20564.849999999999,279109.35748505179,531276.2202640255,43184.153465965232,386357.13238282001,50143,4353,3050,5492,29508,8735,7740,20773,15182,3867,0.56951410748011222
81,323,374018.00000000006,163168.12488758203,4006,3916,194483.73781831315,163168.12488758203,14782.541171470313,16533.071759260729,108687.16618283653,216160,100024,17061.84296028881,132626.33083960644,229679.26405216093,19041.053988086715,162108.89742386577,38043,8058,3065,3806,17712,5670,5402,12042,9165,2044,0.46273131014063656
18,290,311022,139939.51085208499,3159,3481,170850.31844066037,139939.51085208499,14148.298158165755,16762.50943040962,92162.366648683659,182491,94179,17591.026119402984,118902.99823181593,193959.56116910512,15582.207872998004,137755.12424857161,24858,4976,1702,2474,12389,3878,3317,8511,7342,1655,0.51607476533089303
50,601,497762,217842.3234658977,5193,5141,278200.16861653642,217842.3234658977,41332.965488479676,19024.879662158928,134637.03605068041,279703,135380,16821.319012797074,197330.842855303,307717.64475630684,20839.386350949739,219806.1632682535,45016,13168,2455,3453,20031,6485,5909,13546,11624,2675,0.48401339992778053
71,573,554720,247306.45460363253,5811,6116,295739.90466633788,247306.45460363253,23417.88270610667,25015.567356598778,153953.81853490591,316446,161813,17999.176125244619,218369.35814226576,342944.91023990262,25829.931393130471,245832.33110456963,47955,10247,3168,4259,23909,7738,6372,16171,13827,3091,0.51134474760306659
64,547,650356,289032.25238925446,6459,6321,358548.00664608733,289032.25238925446,47360.085485814758,22155.6687710183,176999.97490838962,381016,201869,18075.592672413793,267007.76982904662,410448.94372520666,28431.622348878736,293101.24223060213,73663,14162,4251,6559,37971,10220,10720,27751,18430,4059,0.52981764545320931
