postal_code,departement,nb_departements,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010
01000,01,1,2,44943,21523.2078599249,549,457,24136.502208131697,21523.2078599249,530.60222076299704,2082.69212744378,8617.8993977235295,26572,14094,19614.5,33795.371142730008,28681.123484724096,2433.6032194579197,20350.036512721897,4282,55,215,250,2975,860,787,2115,1479,497
01160,01,1,7,9154.0000000000109,3686.7890250269102,133,70,4382.274464088543,3686.7890250269102,335.55161542214148,359.93382363948911,2766.7129140225557,5031,2917,20152.714285714286,1948.5238092490299,5778.3669018389701,406.71208981671077,4409.0734591795517,734,116,68,97,371,116,82,255,177,35
01250,01,1,19,14716.000000000005,5767.6009879587709,175,124,6779.0071359053582,5767.6009879587709,582.19279776172641,429.21335018486627,4482.7388258427982,8074,5044,20349.527777777777,3944.0384093737694,9440.4493589210906,359.50218240617033,7188.1791108636671,1108,168,107,130,563,167,140,396,291,80
01330,01,1,8,7923.9999999999909,3057.3840616898387,101,72,3313.4687268844427,3057.3840616898387,132.14374316964751,123.94092202495554,2035.6271688846821,4246,2527,21503,2232.3693065358493,5187.9372716654088,208.61164572464412,3914.2455518118791,766,179,38,64,394,97,91,297,195,36
01410,01,1,4,1700,730.74842314731495,13,3,2150.3585219654842,730.74842314731495,1292.3595341836349,127.25056463453501,481.99611371459639,913,527,20140.5,952.14799841655315,1121.2329234747642,43.33721091472659,890.79288340434414,258,35,18,20,145,29,40,116,73,5
01480,01,1,9,17174.999999999989,6418.7943091743227,179,96,6875.2944582268992,6418.7943091743227,147.10810744383792,309.39204160873561,4487.4827239343276,8753,5502,20967.888888888891,3512.8318065275985,11296.966944568281,603.85437396537202,8558.8877688524262,1266,143,102,179,702,203,140,499,333,58
01590,39,2,3,2947.9999999999991,1168.0897435897346,15,14,1303.21156874396,1168.0897435897346,50.085199799922194,85.036625354304391,745.63942698175276,1511,895,20784.333333333332,586.68663686683794,2013.5970537324911,121.98755879896855,1510.5723228984818,183,11,41,21,96,30,14,66,55,12
01750,01,1,2,5127,2254.323559119417,82,55,2411.5953227431901,2254.323559119417,8.8409425440355403,148.43082107974061,1136.013299865979,3079,1750,18232,1742.9346629166039,3266.4124788829204,236.59670967658178,2590.746846714701,377,20,30,40,239,77,48,162,109,37
02120,02,1,26,12923.999999999989,5303.278179998103,165,170,6244.7073249447258,5303.278179998103,322.67832293939529,618.75082200722682,3474.7348299670484,7352,2944,15741.863636363636,3973.8925152271026,7949.3141770794373,957.31471024375639,5270.8939779545999,952,251,58,60,408,123,175,285,286,59
02210,02,1,27,7192,2677.4889461207204,89,54,3260.5461849900707,2677.4889461207204,330.05871658542281,252.99852228392768,2141.4953623634206,3706,1864,17555,1518.7785150638651,4666.5649016062016,390.92061326746136,3369.9981238294431,494,143,34,47,206,59,64,147,145,22
